 ,Area,Mean,Min,Max
1,5.185,255,255,255
2,22.350,255,255,255
3,5.954,255,255,255
4,7.196,255,255,255
5,11.146,255,255,255
6,10.026,255,255,255
7,7.799,255,255,255
8,24.878,255,255,255
9,4.776,255,255,255
10,3.196,255,255,255
11,11.635,255,255,255
12,21.115,255,255,255
13,29.438,255,255,255
14,12.798,255,255,255
15,8.999,255,255,255
16,15.010,255,255,255
17,17.294,255,255,255
18,6.061,255,255,255
19,6.880,255,255,255
20,21.897,255,255,255
21,10.880,255,255,255
22,4.209,255,255,255
23,3.727,255,255,255
24,18.342,255,255,255
25,2.966,255,255,255
26,20.921,255,255,255
27,10.069,255,255,255
28,7.548,255,255,255
29,3.419,255,255,255
30,5.587,255,255,255
31,15.972,255,255,255
32,15.010,255,255,255
33,3.936,255,255,255
34,4.955,255,255,255
35,15.800,255,255,255
36,5.315,255,255,255
37,4.855,255,255,255
38,3.993,255,255,255
39,7.627,255,255,255
40,19.642,255,255,255
41,16.109,255,255,255
42,3.088,255,255,255
43,3.081,255,255,255
44,21.976,255,255,255
45,6.011,255,255,255
46,9.451,255,255,255
